Ronda;Equipo 1;Cant goles 1;Cant goles 2;Equipo 2;
201;Wales;0;2;Iran;
202;Qatar;1;3;Senegal;
203;Netherlands;1;1;Ecuador;
204;England;0;0;USMNT;
205;Tunisia;0;1;Australia;
206;Poland;2;0;Saudi Arabia;
207;France;2;1;Denmark;
208;Argentina;2;0;Mexico;
209;Japan;0;1;Costa Rica;
210;Belgium;0;2;Morocco;
211;Croatia;4;1;Canada;
212;Spain;1;1;Germany;
213;Cameroon;3;3;Serbia;
214;South Korea;2;3;Ghana;
215;Brazil;1;0;Switzerland;
216;Portugal;2;0;Uruguay;
